"tf.blind","z.total","multiplied.mean","cond.exp"
0.0245097233002198,0.945,0.0242713733230351,0.0256839929344287
0.0356245649453411,0.182,0.00569171978043991,0.0312731856068127
0.0243302417251584,0.897,0.0238164925821864,0.0265512737817016
0.0398312602406658,0.943,0.0394814152784758,0.0418678847067612
0.0324036838979056,0.65,0.0268560746400187,0.0413170379077211
0.0523076709148588,0.999,0.0523060231621671,0.0523583815437108
0.0251596294392353,0.674,0.0212349279464893,0.0315058278137823
0.0209866228180925,0.564,0.0147788673165946,0.026203665454955
0.041081007789154,0.985,0.0410152176163725,0.0416398148389568
0.0408027875130645,0.732,0.0341651700311659,0.0466737295507731
0.0248312423606722,0.733,0.0206976812855615,0.0282369458193199
0.0373874887061307,0.957,0.0371721890942801,0.0388424128466877
0.0259337786944744,0.731,0.0222637334538031,0.030456543712453
0.0262102139002811,0.767,0.0237068119929171,0.0309084902124082
0.0341298294543064,0.972,0.0340169171388925,0.0349968283321939
0.0464403430586043,0.977,0.0463308484698255,0.0474215439813976
0.0277633098244218,0.911,0.0265221880118731,0.029113268948269
0.0385809879555884,0.797,0.0345650773714292,0.0433689803907519
0.0226985879908312,0.555,0.017110918862483,0.0308304844369064
0.0280159652331507,0.98,0.0279665472809421,0.0285372931438185
0.026427267118429,0.918,0.0258745580108439,0.028185793040135
0.0323335337544539,0.83,0.0309191433270502,0.0372519799121087
0.0395578740503942,0.555,0.029529926227693,0.0532070742841315
0.0321629531700328,0.918,0.0315828020466511,0.0344039237980949
0.0354472189522421,0.995,0.0354284118363057,0.0356064440565886
0.0361231332325401,0.993,0.0360966924926323,0.0363511505464575
0.0293109127795138,0.913,0.0287097002683002,0.0314454548393212
0.0268361720383098,0.925,0.0263286397341269,0.0284633943071642
0.0350888309737988,0.508,0.0194390287174606,0.0382658045619304
0.0259726930348208,0.866,0.0250847840636657,0.0289662633529627
0.0299855443906942,0.686,0.0240967337862891,0.0351264340908005
0.0254228069977568,0.661,0.0215780536781726,0.0326445592710629
0.0238672481175711,0.936,0.0234251020792474,0.0250268184607344
0.0337257560724355,0.944,0.033375894679595,0.0353558206351642
0.0305755109438722,0.805,0.0284875875224179,0.0353883074812645
0.034007775271251,0.814,0.0324450923520518,0.0398588358133315
0.0193259550759422,0.509,0.0133131275032058,0.0261554567842943
0.03562069841898,0.904,0.0347535167511209,0.0384441556981426
0.0323941865771183,0.973,0.0322487955165805,0.0331436747344096
0.0286056984026433,0.244,0.00864641764672657,0.0354361378964204
0.0418131133432577,0.98,0.0416903817628662,0.0425412058804757
0.0333664961385911,0.06,0.00185235462861149,0.0308725771435249
0.0312441899455913,0.163,0.00657185190498714,0.0403181098465469
0.0392113824325921,0.928,0.0386452371421119,0.0416435745065861
0.0281556465661844,0.698,0.0236823388154346,0.0339288521711098
0.032250255123001,0.817,0.0306201996591698,0.0374788245522275
0.0348868991015698,0.851,0.0335278470268878,0.0393981751197271
0.0208814288516262,0.109,0.00227523272519769,0.0208736947265843
0.0331784031567703,0.94,0.0326860965482317,0.0347724431364167
0.0318713016104804,0.012,0.000306521235700875,0.0255434363084062
0.0197222400242972,0.329,0.00936530253498054,0.0284659651519165
0.0258137384580729,0.805,0.0238993371864652,0.0296886176229381
0.0324430704143255,0.841,0.0307076370137516,0.0365132425847225
0.0304658205225812,0.639,0.0204181804868523,0.0319533340952305
0.0279183685850084,0.82,0.0253712285394992,0.0309405226091454
0.0407380000433196,0.995,0.0407204124523549,0.0409250376405577
0.0259195139041868,0.815,0.0232957470914426,0.0285837387625063
0.0283346760260783,0.539,0.0195254408916042,0.0362253077766312
0.0231745227206284,0.758,0.0208286741186614,0.0274784618979702
0.0278152227284884,0.134,0.00416715951122603,0.0310982053076569
0.03131848549321,0.337,0.00919123369149947,0.0272736904792269
0.0518536382053417,0.028,0.000687033588657387,0.024536913880621
0.0399320348516714,0.994,0.0399165669861665,0.0401575120585176
0.0220847628315519,0.399,0.0114922074375969,0.0288025249062579
0.0201402139776954,0.562,0.0153640922047141,0.0273382423571425
0.0296536923855196,0.632,0.0224793861811278,0.0355686490207718
0.0249148407966376,0.694,0.0203338124008641,0.0292994414998042
0.0426928274286528,0.997,0.0426852517004744,0.0428136927788108
0.0323940962205645,0.934,0.0319618476608657,0.0342203936411838
0.0321817559103975,0.917,0.0315039340941566,0.0343554352171828
0.0330491554361153,0.978,0.0329115079470385,0.0336518486166038
0.0470330891806119,0.98,0.0469333752370196,0.0478911992214486
0.032284386002084,0.874,0.0313549903884937,0.0358752750440432
0.037099554072176,0.974,0.0370058397350668,0.0379936752926763
0.0326995016167603,0.395,0.0176161632327605,0.0445978816019253
0.0274891024416567,0.889,0.0268041624451887,0.0301509138866015
0.0290928883390235,0.652,0.0241866226967854,0.0370960470809593
0.0202901970067428,0.41,0.0119638938201962,0.0291802288297467
0.0212661627497144,0.387,0.0110996549695162,0.028681278990998
0.015936738250371,0.162,0.00328068606865715,0.0202511485719577
0.0272966836109188,0.774,0.025381405048697,0.0327925129828127
0.0213566597099383,0.352,0.00873816101945063,0.0248243210779847
0.0406435289023116,0.991,0.0406216210168168,0.0409905358393711
0.0249510573117868,0.57,0.0183099806198161,0.0321227730172213
0.0432639395307717,0.985,0.043144593585312,0.0438016178531086
0.0296837799283578,0.271,0.00960715416738287,0.0354507533851766
0.035403573770955,0.81,0.0331219334577569,0.040891275873774
0.0472326770997833,0.981,0.0471323882972503,0.0480452480094294
0.0257344158037274,0.876,0.0248646797664674,0.0283843376329536
0.0248630252964424,0.183,0.00437973227039628,0.0239329632262092
0.0205413147362745,0.359,0.00817797415444845,0.0227798722965138
0.0275986719447815,0.932,0.0269709433661119,0.0289387804357424
0.0324337795889123,0.44,0.0195893878695892,0.0445213360672481
0.0392620352232028,0.602,0.0296862286656633,0.0493126722020985
0.0398169789770317,0.951,0.0395541973163474,0.0415922158952129
0.0258347890293275,0.114,0.00507210757501701,0.0444921717106756
0.0263527406539771,0.836,0.02440020256983,0.0291868451792225
0.0356948409300954,0.055,0.00188251941312532,0.0342276256931876
0.0236413233453249,0.704,0.0208231045069666,0.0295782734473957
0.0388257090807756,0.011,0.000360754819141649,0.0327958926492408
